id,product,Q1,Q2,Q3,Q4
1,Product B,170,499,339,406
2,Product C,489,128,466,216
3,Product D,339,157,312,154
4,Product E,318,114,382,453
5,Product F,362,156,498,415
6,Product G,340,179,166,203
7,Product H,446,405,488,401
8,Product I,424,296,228,346
9,Product J,351,496,161,374
10,Product K,201,348,273,216
11,Product L,120,329,314,386
12,Product M,154,103,193,246
13,Product N,380,107,444,470
14,Product O,466,381,287,280
15,Product P,338,356,116,107
16,Product Q,186,433,231,442
17,Product R,250,199,493,169
18,Product S,209,302,195,183
19,Product T,162,300,399,119
20,Product U,296,408,442,490
21,Product V,295,382,280,333
22,Product W,232,303,441,341
23,Product X,110,299,326,449
24,Product Y,449,282,133,323
25,Product Z,417,453,160,225
26,Product A,395,286,456,483
27,Product B,172,145,264,128
28,Product C,476,159,308,252
29,Product D,174,298,137,102
30,Product E,345,104,211,201
31,Product F,286,123,432,367
32,Product G,492,232,500,180
33,Product H,244,208,459,483
34,Product I,455,157,417,375
35,Product J,213,395,170,247
36,Product K,377,249,357,133
37,Product L,212,112,105,254
38,Product M,154,478,317,407
39,Product N,138,107,261,217
40,Product O,123,175,151,288
41,Product P,136,293,343,468
42,Product Q,286,490,465,381
43,Product R,298,457,248,306
44,Product S,465,225,218,441
45,Product T,414,268,219,258
46,Product U,381,146,147,101
47,Product V,266,108,160,489
48,Product W,241,355,315,232
49,Product X,493,179,351,358
50,Product Y,399,317,162,263
51,Product Z,341,226,382,272
52,Product A,264,481,491,156
53,Product B,170,379,494,139
54,Product C,329,352,268,150
55,Product D,168,219,403,290
56,Product E,491,388,354,359
57,Product F,150,274,285,232
58,Product G,179,292,427,123
59,Product H,490,443,406,336
60,Product I,182,216,475,296
61,Product J,109,178,251,249
62,Product K,322,488,477,289
63,Product L,495,243,316,495
64,Product M,336,339,172,118
65,Product N,283,133,326,152
66,Product O,113,335,204,131
67,Product P,356,337,162,285
68,Product Q,296,234,486,433
69,Product R,346,372,428,485
70,Product S,217,346,440,470
71,Product T,131,210,150,349
72,Product U,262,257,216,371
73,Product V,108,497,195,326
74,Product W,251,137,254,357
75,Product X,266,461,335,443
76,Product Y,192,296,125,182
77,Product Z,388,188,270,232
78,Product A,494,484,301,450
79,Product B,370,306,175,330
80,Product C,195,384,364,253
81,Product D,123,329,313,319
82,Product E,228,169,105,328
83,Product F,434,293,449,205
84,Product G,173,344,134,461
85,Product H,205,273,206,472
86,Product I,380,305,343,313
87,Product J,454,170,283,409
88,Product K,164,211,370,320
89,Product L,469,358,343,410
90,Product M,126,308,443,455
91,Product N,115,234,364,367
92,Product O,301,402,447,219
93,Product P,190,129,455,271
94,Product Q,499,289,498,220
95,Product R,232,103,277,113
96,Product S,451,368,409,495
97,Product T,174,342,202,395
98,Product U,314,480,142,267
99,Product V,405,330,319,231
100,Product W,497,104,260,198
